comuna,campana,denominador
Puente Alto,trab_educacion,7596
Quilicura,trab_educacion,2373
Quinta Normal,trab_educacion,1558
Recoleta,trab_educacion,1861
Renca,trab_educacion,1942
San Bernardo,trab_educacion,4020
San Joaquín,trab_educacion,1134
San José de Maipo,trab_educacion,284
San Miguel,trab_educacion,1779
San Pedro,trab_educacion,240
San Ramón,trab_educacion,999
Santiago,trab_educacion,3858
Talagante,trab_educacion,1459
Tiltil,trab_educacion,454
Vitacura,trab_educacion,1805
Alhué,trab_avicolas_cerdos,6
Buin,trab_avicolas_cerdos,289
Calera de Tango,trab_avicolas_cerdos,45
Cerrillos,trab_avicolas_cerdos,201
Cerro Navia,trab_avicolas_cerdos,74
Colina,trab_avicolas_cerdos,191
Conchalí,trab_avicolas_cerdos,19
Curacaví,trab_avicolas_cerdos,97
El Bosque,trab_avicolas_cerdos,8
El Monte,trab_avicolas_cerdos,664
Estación Central,trab_avicolas_cerdos,7
Huechuraba,trab_avicolas_cerdos,35
Independencia,trab_avicolas_cerdos,23
Isla de Maipo,trab_avicolas_cerdos,147
La Cisterna,trab_avicolas_cerdos,350
La Florida,trab_avicolas_cerdos,40
La Granja,trab_avicolas_cerdos,17
La Pintana,trab_avicolas_cerdos,756
La Reina,trab_avicolas_cerdos,9
Lampa,trab_avicolas_cerdos,46
Las Condes,trab_avicolas_cerdos,18
Lo Barnechea,trab_avicolas_cerdos,21
Lo Espejo,trab_avicolas_cerdos,12
Lo Prado,trab_avicolas_cerdos,3
Macul,trab_avicolas_cerdos,19
Maipú,trab_avicolas_cerdos,39
María Pinto,trab_avicolas_cerdos,66
Melipilla,trab_avicolas_cerdos,1703
Ñuñoa,trab_avicolas_cerdos,13
Padre Hurtado,trab_avicolas_cerdos,0
Paine,trab_avicolas_cerdos,166
Pedro Aguirre Cerda,trab_avicolas_cerdos,9
Peñaflor,trab_avicolas_cerdos,255
Peñalolén,trab_avicolas_cerdos,11
Pirque,trab_avicolas_cerdos,187
Providencia,trab_avicolas_cerdos,45
Pudahuel,trab_avicolas_cerdos,212
Puente Alto,trab_avicolas_cerdos,114
Quilicura,trab_avicolas_cerdos,10
Quinta Normal,trab_avicolas_cerdos,7
Recoleta,trab_avicolas_cerdos,72
Renca,trab_avicolas_cerdos,28
San Bernardo,trab_avicolas_cerdos,1039
San Joaquín,trab_avicolas_cerdos,49
San José de Maipo,trab_avicolas_cerdos,5
San Miguel,trab_avicolas_cerdos,7
San Pedro,trab_avicolas_cerdos,874
San Ramón,trab_avicolas_cerdos,4
Santiago,trab_avicolas_cerdos,177
Talagante,trab_avicolas_cerdos,302
Tiltil,trab_avicolas_cerdos,56
Vitacura,trab_avicolas_cerdos,4
Alhué,otras_prioridades,196
Buin,otras_prioridades,1473
Calera de Tango,otras_prioridades,315
Cerrillos,otras_prioridades,743
Cerro Navia,otras_prioridades,1420
Colina,otras_prioridades,1516
Conchalí,otras_prioridades,2031
Curacaví,otras_prioridades,467
El Bosque,otras_prioridades,3299
El Monte,otras_prioridades,560
Estación Central,otras_prioridades,1393
Huechuraba,otras_prioridades,2423
Independencia,otras_prioridades,3004
Isla de Maipo,otras_prioridades,1640
La Cisterna,otras_prioridades,5686
La Florida,otras_prioridades,2569
La Granja,otras_prioridades,1427
La Pintana,otras_prioridades,1502
La Reina,otras_prioridades,1450
Lampa,otras_prioridades,715
Las Condes,otras_prioridades,5055
Lo Barnechea,otras_prioridades,680
Lo Espejo,otras_prioridades,1817
Lo Prado,otras_prioridades,1361
Macul,otras_prioridades,1471
Maipú,otras_prioridades,5384
María Pinto,otras_prioridades,268
Melipilla,otras_prioridades,1287
Ñuñoa,otras_prioridades,11665
Padre Hurtado,otras_prioridades,243
Paine,otras_prioridades,1802
Pedro Aguirre Cerda,otras_prioridades,921
Peñaflor,otras_prioridades,1338
Peñalolén,otras_prioridades,3493
Pirque,otras_prioridades,230
Providencia,otras_prioridades,2725
Pudahuel,otras_prioridades,4089
Puente Alto,otras_prioridades,9823
Quilicura,otras_prioridades,2224
Quinta Normal,otras_prioridades,1244
Recoleta,otras_prioridades,2438
Renca,otras_prioridades,3781
San Bernardo,otras_prioridades,7970
San Joaquín,otras_prioridades,3374
San José de Maipo,otras_prioridades,100
San Miguel,otras_prioridades,4855
San Pedro,otras_prioridades,313
San Ramón,otras_prioridades,2301
Santiago,otras_prioridades,24020
Talagante,otras_prioridades,1202
Tiltil,otras_prioridades,373
Vitacura,otras_prioridades,694
Alhué,cuidadores_adulto_mayor_eleam,32
Buin,cuidadores_adulto_mayor_eleam,331
Calera de Tango,cuidadores_adulto_mayor_eleam,182
Cerrillos,cuidadores_adulto_mayor_eleam,146
Cerro Navia,cuidadores_adulto_mayor_eleam,319
Colina,cuidadores_adulto_mayor_eleam,162
Conchalí,cuidadores_adulto_mayor_eleam,716
Curacaví,cuidadores_adulto_mayor_eleam,120
El Bosque,cuidadores_adulto_mayor_eleam,285
El Monte,cuidadores_adulto_mayor_eleam,47
Estación Central,cuidadores_adulto_mayor_eleam,475
Huechuraba,cuidadores_adulto_mayor_eleam,412
Independencia,cuidadores_adulto_mayor_eleam,1023
Isla de Maipo,cuidadores_adulto_mayor_eleam,148
La Cisterna,cuidadores_adulto_mayor_eleam,324
La Florida,cuidadores_adulto_mayor_eleam,1407
La Granja,cuidadores_adulto_mayor_eleam,172
La Pintana,cuidadores_adulto_mayor_eleam,738
La Reina,cuidadores_adulto_mayor_eleam,712
Lampa,cuidadores_adulto_mayor_eleam,268
Las Condes,cuidadores_adulto_mayor_eleam,2397
Lo Barnechea,cuidadores_adulto_mayor_eleam,507
Lo Espejo,cuidadores_adulto_mayor_eleam,226
Lo Prado,cuidadores_adulto_mayor_eleam,687
Macul,cuidadores_adulto_mayor_eleam,563
Maipú,cuidadores_adulto_mayor_eleam,676
María Pinto,cuidadores_adulto_mayor_eleam,39
Melipilla,cuidadores_adulto_mayor_eleam,441
Ñuñoa,cuidadores_adulto_mayor_eleam,2211
Padre Hurtado,cuidadores_adulto_mayor_eleam,517
Paine,cuidadores_adulto_mayor_eleam,427
Pedro Aguirre Cerda,cuidadores_adulto_mayor_eleam,352
Peñaflor,cuidadores_adulto_mayor_eleam,369
Peñalolén,cuidadores_adulto_mayor_eleam,1299
Pirque,cuidadores_adulto_mayor_eleam,244
Providencia,cuidadores_adulto_mayor_eleam,826
Pudahuel,cuidadores_adulto_mayor_eleam,325
Puente Alto,cuidadores_adulto_mayor_eleam,2060
Quilicura,cuidadores_adulto_mayor_eleam,285
Quinta Normal,cuidadores_adulto_mayor_eleam,419
Recoleta,cuidadores_adulto_mayor_eleam,1027
Renca,cuidadores_adulto_mayor_eleam,291
San Bernardo,cuidadores_adulto_mayor_eleam,905
San Joaquín,cuidadores_adulto_mayor_eleam,907
San José de Maipo,cuidadores_adulto_mayor_eleam,143
San Miguel,cuidadores_adulto_mayor_eleam,672
San Pedro,cuidadores_adulto_mayor_eleam,28
San Ramón,cuidadores_adulto_mayor_eleam,346
Santiago,cuidadores_adulto_mayor_eleam,1112
Talagante,cuidadores_adulto_mayor_eleam,385
Tiltil,cuidadores_adulto_mayor_eleam,54
Vitacura,cuidadores_adulto_mayor_eleam,841
